OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
62,05/15/2020 10:00:00 AM,151,2752,4399,3606,228,190,635,300,829,107,1364,6,671,1313,131,7759,10791,108,54,299,65,320,777,131,0
63,05/16/2020 10:00:00 AM,160,2801,4549,3719,237,200,633,308,844,111,1402,7,678,1352,138,7988,11031,112,55,306,68,332,801,136,0
64,05/17/2020 10:00:00 AM,161,2856,4624,3798,241,191,646,308,859,111,1423,6,687,1378,137,8206,11316,125,57,313,68,338,818,137,0
65,05/18/2020 10:00:00 AM,164,2893,4749,3830,245,200,703,318,867,122,1460,7,695,1416,140,8417,11608,129,61,326,68,343,837,164,0
66,05/19/2020 10:00:00 AM,166,2981,4920,4002,255,208,712,323,895,122,1491,7,709,1465,144,8950,12240,133,62,338,68,352,839,164,0
67,05/20/2020 10:00:00 AM,166,3033,5025,4152,259,210,720,328,921,122,1533,7,721,1494,145,9052,12446,135,64,340,69,364,848,169,0
68,05/21/2020 10:00:00 AM,166,3132,5135,4339,278,216,733,331,943,124,1568,7,737,1548,143,9260,12830,141,71,357,70,377,844,181,0
69,05/22/2020 10:00:00 AM,168,3207,5170,4492,291,223,755,339,956,126,1625,7,746,1586,146,9432,13077,141,71,370,73,389,854,180,0
70,05/23/2020 10:00:00 AM,168,3282,5290,4673,298,231,765,342,969,126,1661,7,764,1638,148,9699,13324,146,71,379,77,398,859,180,0
71,05/24/2020 10:00:00 AM,170,3307,5373,4782,304,240,783,345,989,127,1696,7,780,1667,152,9922,13521,146,72,393,79,408,867,183,0
72,05/25/2020 10:00:00 AM,176,3357,5476,4888,307,241,802,348,997,128,1731,10,789,1716,155,10111,13726,151,72,395,86,413,892,185,0
73,05/26/2020 10:00:00 AM,176,3394,5498,4997,308,243,811,353,1001,130,1746,10,795,1732,158,10291,13819,151,73,400,86,413,908,194,0
74,05/27/2020 10:00:00 AM,177,3448,5562,5054,314,243,817,354,1008,133,1786,10,801,1760,160,10467,14100,151,73,400,84,418,910,193,0
75,05/28/2020 10:00:00 AM,178,3556,5678,5203,320,245,840,356,1027,136,1824,10,827,1815,165,10752,14508,152,73,417,87,423,919,198,0
76,05/29/2020 10:00:00 AM,177,3643,5819,5426,329,248,861,364,1056,140,1856,10,854,1868,167,11035,14773,160,73,460,91,441,931,206,0
77,05/30/2020 10:00:00 AM,177,3743,5955,5564,334,253,880,366,1085,141,1890,10,861,1905,170,11251,15022,159,73,471,96,456,943,210,0
78,05/31/2020 10:00:00 AM,178,3785,6065,5664,341,259,913,371,1108,142,1911,10,882,1928,173,11361,15220,160,73,499,99,469,953,214,0
79,06/01/2020 10:00:00 AM,180,3842,6299,5604,349,260,914,369,1120,142,1928,10,881,1944,174,11476,15353,161,73,505,101,472,955,215,0
80,06/02/2020 10:00:00 AM,181,3924,6385,5688,352,263,927,377,1133,144,1961,10,891,1975,174,11731,15553,161,74,518,101,480,955,217,0
81,06/03/2020 10:00:00 AM,182,4009,6457,5801,348,265,940,381,1152,147,2005,10,901,2004,178,11924,15738,162,75,536,103,486,959,219,0
82,06/04/2020 10:00:00 AM,182,4080,6476,5906,352,268,947,388,1174,152,2041,10,920,2033,180,12226,15940,161,76,542,106,516,959,223,0
83,06/05/2020 10:00:00 AM,183,4150,6590,6038,353,268,960,393,1185,153,2069,10,939,2074,184,12434,16169,163,76,547,106,529,967,230,0
84,06/06/2020 10:00:00 AM,184,4210,6696,6141,354,270,950,399,1196,154,2100,10,947,2094,185,12624,16316,168,76,548,108,545,975,232,0
85,06/07/2020 10:00:00 AM,184,4236,6753,6229,358,272,952,404,1202,155,2114,10,957,2125,187,12734,16434,170,76,553,108,548,977,235,0
86,06/08/2020 10:00:00 AM,185,4267,6814,6296,362,272,954,408,1211,156,2135,10,961,2156,187,12818,16523,177,77,553,108,551,984,239,0
87,06/09/2020 10:00:00 AM,186,4309,6852,6355,363,273,963,417,1216,157,2152,10,969,2191,188,12968,16636,177,77,561,108,545,990,241,0
88,06/10/2020 10:00:00 AM,185,4348,6916,6428,363,276,969,423,1231,157,2178,10,982,2220,189,13124,16753,178,77,565,108,551,992,242,0
89,06/11/2020 10:00:00 AM,185,4421,6985,6509,366,278,976,429,1235,159,2202,10,990,2311,188,13276,16940,178,78,573,107,560,998,243,0
90,06/12/2020 10:00:00 AM,187,4453,7051,6559,370,279,977,435,1248,160,2225,10,991,2332,189,13348,17042,179,78,575,107,568,1004,246,0
91,06/13/2020 10:00:00 AM,187,4522,7107,6633,373,282,983,439,1264,161,2251,10,1004,2371,192,13534,17216,179,79,578,107,570,1010,253,0
92,06/14/2020 10:00:00 AM,187,4607,7151,6689,375,283,989,443,1269,162,2273,10,1009,2335,193,13607,17326,180,79,580,107,571,1020,256,0
93,06/15/2020 10:00:00 AM,187,4623,7199,6747,376,283,992,445,1272,165,2298,10,1019,2350,193,13657,17400,183,80,582,107,579,1027,258,0
94,06/16/2020 10:00:00 AM,188,4751,7248,6782,380,284,987,450,1277,166,2308,10,1023,2327,193,13709,17499,183,82,585,109,579,1031,258,0
95,06/17/2020 10:00:00 AM,188,4796,7329,6866,382,284,1006,455,1291,170,2336,10,1032,2343,192,13819,17611,187,82,587,110,593,1035,265,0
96,06/18/2020 10:00:00 AM,187,4835,7371,6906,385,285,1010,456,1294,170,2342,10,1036,2348,193,13862,17666,187,83,595,110,595,1036,267,0
97,06/19/2020 10:00:00 AM,187,4862,7403,6938,389,288,1028,459,1294,174,2361,10,1041,2382,193,13928,17709,203,83,599,113,601,1036,267,0
98,06/20/2020 10:00:00 AM,188,4880,7480,6993,393,290,1028,460,1304,180,2380,10,1052,2409,193,14004,17804,204,83,597,113,602,1039,270,0
99,06/21/2020 10:00:00 AM,188,4904,7537,7053,394,294,1030,460,1313,183,2393,10,1056,2423,193,14079,17874,205,83,602,115,603,1043,271,0
100,06/22/2020 10:00:00 AM,189,4916,7585,7095,397,294,1031,461,1328,183,2407,10,1060,2436,194,14141,17935,211,83,599,117,611,1046,274,0
101,06/23/2020 10:00:00 AM,192,4946,7635,7148,398,296,1061,461,1333,183,2419,10,1064,2423,194,14204,18080,211,84,605,116,616,1051,277,0
102,06/24/2020 10:00:00 AM,194,4956,7652,7210,402,297,1082,464,1341,183,2425,10,1072,2436,195,14283,18151,213,84,606,116,634,1053,278,0
103,06/25/2020 10:00:00 AM,203,4985,7710,7258,403,302,1101,460,1350,184,2441,10,1078,2453,194,14381,18249,215,85,610,119,653,1055,278,0
104,06/26/2020 10:00:00 AM,204,5005,7768,7299,404,309,1104,462,1357,182,2448,10,1078,2470,195,14471,18307,220,86,611,121,663,1059,282,0
105,06/27/2020 10:00:00 AM,204,5042,7800,7363,408,315,1104,473,1362,183,2465,10,1090,2490,196,14520,18342,224,86,619,130,684,1058,282,0
106,06/28/2020 10:00:00 AM,204,5055,7847,7416,410,315,1105,473,1371,185,2471,11,1096,2501,198,14607,18414,226,86,620,130,694,1060,282,0
107,06/29/2020 10:00:00 AM,204,5092,7929,7498,413,318,1114,478,1383,188,2486,11,1108,2527,199,14675,18505,227,87,633,136,695,1062,286,0
108,06/30/2020 10:00:00 AM,205,5109,7985,7546,414,319,1117,479,1393,188,2490,11,1116,2538,198,14737,18572,230,87,637,137,698,1067,286,0
109,07/01/2020 10:00:00 AM,205,5134,8040,7605,415,320,1136,480,1399,188,2493,11,1127,2568,200,14803,18645,230,87,639,137,697,1070,289,0
110,07/02/2020 10:00:00 AM,205,5179,8105,7701,418,321,1149,486,1416,189,2501,11,1153,2602,201,14899,18731,232,87,646,141,687,1074,289,0
111,07/03/2020 10:00:00 AM,206,5200,8183,7789,419,321,1155,487,1426,188,2520,11,1173,2618,200,15021,18861,234,87,651,144,691,1085,291,0
112,07/04/2020 10:00:00 AM,208,5239,8234,7857,419,322,1156,490,1430,192,2546,13,1176,2637,200,15082,18940,240,87,652,147,695,1087,292,0
113,07/05/2020 10:00:00 AM,210,5261,8285,7897,421,322,1158,494,1437,201,2552,14,1180,2651,203,15129,18998,247,88,654,150,696,1088,296,0
114,07/06/2020 10:00:00 AM,210,5290,8335,7960,422,322,1164,498,1441,201,2554,15,1189,2666,203,15163,19040,248,88,659,152,696,1091,297,0
115,07/07/2020 10:00:00 AM,210,5305,8381,8000,422,323,1182,505,1451,199,2551,15,1198,2685,204,15332,19182,256,91,662,155,691,1095,301,0
116,07/08/2020 10:00:00 AM,212,5341,8443,8071,425,325,1188,512,1473,199,2553,16,1209,2723,204,15400,19285,260,93,666,161,694,1102,306,0
117,07/09/2020 10:00:00 AM,212,5391,8497,8155,435,329,1190,514,1483,199,2567,17,1225,2751,203,15503,19456,268,94,673,165,702,1109,309,0
118,07/10/2020 10:00:00 AM,213,5423,8581,8249,438,332,1200,518,1496,203,2577,19,1246,2770,204,15568,19510,273,98,679,170,710,1119,314,0
119,07/11/2020 10:00:00 AM,216,5471,8675,8367,445,334,1210,526,1502,209,2586,22,1262,2793,204,15623,19598,287,98,689,184,720,1130,316,0
120,07/12/2020 10:00:00 AM,216,5514,8797,8489,449,336,1217,527,1517,217,2598,26,1279,2825,204,15727,19713,290,99,700,185,727,1136,321,0
121,07/13/2020 10:00:00 AM,218,5562,8892,8566,453,336,1221,529,1528,217,2605,27,1288,2850,205,15780,19773,290,101,708,189,728,1139,322,0
122,07/14/2020 10:00:00 AM,220,5619,8990,8689,458,345,1224,531,1534,217,2619,27,1311,2891,205,15883,19956,296,103,721,197,737,1156,331,0
123,07/15/2020 10:00:00 AM,222,5683,9153,8835,459,347,1228,536,1552,219,2635,28,1325,2922,208,15986,20099,299,105,730,207,739,1160,339,0
124,07/16/2020 10:00:00 AM,224,5735,9261,8998,467,350,1235,538,1567,231,2655,29,1336,2957,211,16056,20191,301,105,739,216,743,1164,355,0
125,07/17/2020 10:00:00 AM,227,5813,9376,9141,479,351,1248,542,1583,232,2661,30,1351,2983,215,16153,20302,305,106,753,230,751,1173,366,0
126,07/18/2020 10:00:00 AM,232,5902,9517,9284,483,352,1256,550,1593,238,2701,33,1380,3040,218,16251,20425,310,107,764,238,773,1176,383,0
127,07/19/2020 10:00:00 AM,237,5955,9723,9428,490,360,1269,553,1609,245,2722,34,1412,3097,221,16372,20589,318,108,773,243,784,1181,408,0
128,07/20/2020 10:00:00 AM,239,6003,9828,9505,494,365,1276,559,1619,246,2739,34,1427,3128,223,16433,20690,331,108,779,257,796,1189,417,0
129,07/21/2020 10:00:00 AM,240,6062,9994,9644,495,367,1296,566,1642,246,2785,34,1452,3177,224,16520,20867,335,110,785,265,816,1195,428,0
130,07/22/2020 10:00:00 AM,240,6105,10153,9738,503,368,1311,570,1659,288,2797,37,1472,3198,221,16593,20958,340,110,789,268,818,1201,435,0
131,07/23/2020 10:00:00 AM,244,6144,10345,9842,509,371,1316,576,1679,294,2820,38,1514,3242,223,16654,21038,341,111,790,274,826,1206,439,0
132,07/24/2020 10:00:00 AM,244,6229,10520,10001,515,374,1337,583,1695,303,2833,41,1540,3271,224,16768,21210,350,114,805,289,833,1219,468,0
133,07/25/2020 10:00:00 AM,252,6343,10793,10210,528,393,1355,596,1719,305,2870,42,1579,3313,228,16922,21432,357,114,822,298,864,1228,491,0
134,07/26/2020 10:00:00 AM,256,6380,10924,10353,535,403,1369,597,1730,317,2879,42,1597,3327,229,17020,21558,366,114,834,308,871,1239,500,0
135,07/27/2020 10:00:00 AM,260,6469,11124,10579,546,412,1391,601,1753,319,2909,43,1631,3373,229,17164,21770,370,115,849,317,897,1249,506,0
136,07/28/2020 10:00:00 AM,262,6537,11252,10702,552,416,1402,607,1772,319,2931,48,1648,3410,224,17230,21870,375,116,855,320,914,1256,506,0
137,07/29/2020 10:00:00 AM,260,6599,11423,10826,559,418,1414,612,1796,319,2947,45,1676,3441,224,17305,22044,376,116,863,323,931,1260,508,0
138,07/30/2020 10:00:00 AM,264,6684,11615,11004,565,418,1435,619,1819,326,2964,45,1716,3472,229,17397,22183,378,117,874,330,936,1269,518,0
139,07/31/2020 10:00:00 AM,266,6770,11818,11192,588,423,1449,622,1832,340,2986,45,1750,3530,232,17568,22416,383,119,896,340,952,1279,550,0
140,08/01/2020 10:00:00 AM,267,6855,11997,11406,612,430,1467,630,1855,349,2989,43,1780,3570,235,17665,22606,386,121,904,361,967,1287,583,0
141,08/02/2020 10:00:00 AM,271,6958,12175,11577,619,432,1481,647,1878,351,2998,43,1818,3622,235,17758,22743,397,123,922,366,978,1294,588,0
142,08/03/2020 10:00:00 AM,273,7007,12401,11748,635,438,1491,655,1909,352,3010,43,1853,3660,235,17842,22880,399,123,931,368,982,1298,611,0
143,08/04/2020 10:00:00 AM,276,7071,12525,11844,649,439,1503,662,1932,352,3016,44,1863,3690,235,17910,23082,399,129,931,368,986,1309,639,0
144,08/05/2020 10:00:00 AM,276,7114,12666,11953,660,441,1511,672,1947,353,3020,45,1878,3717,235,17976,23156,402,129,945,369,989,1316,656,0
145,08/06/2020 10:00:00 AM,279,7200,12777,12075,667,444,1516,681,1961,360,3032,45,1906,3729,236,18032,23225,406,130,951,371,996,1322,664,0
146,08/07/2020 10:00:00 AM,280,7243,12915,12239,672,445,1530,689,1983,365,3050,46,1922,3779,238,18139,23372,420,133,962,384,1003,1322,675,0
147,08/08/2020 10:00:00 AM,287,7295,13060,12375,685,445,1537,698,2000,371,3055,49,1934,3809,239,18260,23554,422,134,965,394,1007,1324,682,0
148,08/09/2020 10:00:00 AM,291,7361,13257,12547,697,451,1546,702,2024,371,3067,49,1968,3846,243,18392,23697,431,136,983,400,1012,1338,694,0
149,08/10/2020 10:00:00 AM,299,7416,13400,12704,707,453,1554,706,2040,375,3082,49,1994,3881,243,18489,23832,434,139,999,402,1018,1348,694,0
150,08/11/2020 10:00:00 AM,300,7450,13374,12893,713,453,1567,708,2067,378,3093,51,2012,3913,242,18558,24009,433,141,1003,403,1029,1356,697,0
151,08/12/2020 10:00:00 AM,303,7479,13463,12991,715,454,1572,714,2084,378,3118,53,2034,3941,243,18641,24098,440,141,1012,404,1041,1361,704,0
152,08/13/2020 10:00:00 AM,312,7528,13593,13063,724,455,1583,715,2102,393,3154,54,2055,3967,242,18752,24301,446,141,1022,411,1066,1374,707,0
153,08/14/2020 10:00:00 AM,326,7564,13699,13210,725,457,1596,719,2119,394,3173,54,2085,4009,242,18819,24442,468,142,1039,412,1090,1381,710,0
154,08/15/2020 10:00:00 AM,338,7618,13847,13341,733,460,1603,724,2152,402,3196,58,2125,4040,242,18925,24588,470,147,1040,418,1117,1390,719,0
155,08/16/2020 10:00:00 AM,341,7648,13941,13425,737,461,1608,726,2165,408,3216,58,2150,4071,244,19003,24654,482,151,1048,420,1125,1401,729,0
156,08/17/2020 10:00:00 AM,343,7700,14043,13507,742,465,1613,736,2175,413,3231,58,2167,4089,246,19071,24719,487,154,1061,421,1138,1405,731,0
157,08/18/2020 10:00:00 AM,348,7734,14116,13566,745,468,1622,738,2198,407,3247,58,2183,4111,249,19127,24888,493,155,1064,424,1148,1410,736,0
158,08/19/2020 10:00:00 AM,354,7782,14180,13643,748,471,1623,739,2213,408,3267,59,2202,4125,251,19180,24949,495,159,1064,425,1160,1415,737,0
159,08/20/2020 10:00:00 AM,358,7809,14327,13708,755,472,1625,744,2224,416,3289,60,2225,4148,251,19264,25058,498,164,1069,430,1170,1424,741,0
160,08/21/2020 10:00:00 AM,365,7861,14471,13804,757,472,1632,752,2234,425,3309,61,2257,4178,255,19325,25197,508,169,1075,433,1192,1428,739,0
161,08/22/2020 10:00:00 AM,367,7922,14585,13897,759,477,1638,757,2250,427,3321,61,2285,4192,254,19385,25343,512,176,1077,436,1207,1442,753,0
162,08/23/2020 10:00:00 AM,377,7966,14693,13981,761,478,1647,761,2260,429,3344,61,2311,4214,254,19468,25426,514,176,1080,446,1234,1461,760,0
163,08/24/2020 10:00:00 AM,381,8011,14788,14072,764,479,1651,765,2278,430,3371,61,2337,4249,254,19540,25537,517,176,1084,452,1237,1473,762,0
164,08/25/2020 10:00:00 AM,387,8037,14823,14110,766,480,1655,766,2306,430,3376,63,2344,4266,255,19599,25648,523,181,1086,458,1241,1480,766,0
165,08/26/2020 10:00:00 AM,388,8091,14912,14172,768,481,1660,766,2319,430,3404,63,2357,4282,256,19646,25705,524,183,1089,459,1258,1488,785,0
166,08/27/2020 10:00:00 AM,389,8132,15043,14243,772,485,1665,768,2331,437,3413,62,2381,4300,260,19733,25817,526,187,1091,461,1267,1506,794,0
167,08/28/2020 10:00:00 AM,392,8190,15149,14312,779,489,1669,769,2346,443,3430,63,2408,4325,260,19806,25963,533,191,1096,463,1273,1522,793,0
168,08/29/2020 10:00:00 AM,391,8264,15274,14383,783,496,1679,776,2366,451,3459,63,2437,4354,261,19866,26064,540,192,1103,469,1288,1538,797,0
169,08/30/2020 10:00:00 AM,391,8300,15382,14424,786,504,1686,782,2382,458,3477,63,2459,4367,263,19946,26151,543,192,1108,472,1308,1547,800,0
170,08/31/2020 10:00:00 AM,393,8351,15479,14478,788,510,1694,788,2394,461,3492,63,2475,4381,263,20006,26215,553,195,1112,473,1312,1565,808,0
171,09/01/2020 10:00:00 AM,395,8400,15593,14535,791,513,1700,795,2403,462,3505,63,2500,4415,264,20103,26356,556,196,1121,473,1321,1568,835,0
172,09/02/2020 10:00:00 AM,396,8469,15665,14569,793,520,1711,802,2411,461,3513,63,2523,4431,267,20190,26428,558,198,1122,475,1337,1575,842,0
173,09/03/2020 10:00:00 AM,398,8536,15825,14626,795,522,1728,809,2424,468,3532,63,2552,4459,270,20281,26565,560,201,1130,478,1349,1587,854,0
174,09/04/2020 10:00:00 AM,401,8625,15959,14692,807,535,1744,824,2439,473,3562,64,2586,4502,270,20399,26697,571,203,1139,484,1369,1614,872,0
175,09/05/2020 10:00:00 AM,403,8699,16081,14767,812,563,1769,838,2450,485,3591,64,2612,4542,271,20500,26858,577,205,1144,488,1378,1634,876,0
176,09/06/2020 10:00:00 AM,404,8751,16183,14834,820,565,1780,848,2464,498,3603,64,2634,4573,273,20578,26917,579,205,1150,492,1386,1640,878,0
177,09/07/2020 10:00:00 AM,407,8820,16302,14962,826,570,1788,853,2485,500,3622,64,2665,4605,277,20718,27027,587,206,1162,497,1392,1661,887,0
178,09/08/2020 10:00:00 AM,407,8857,16347,14994,830,572,1796,858,2494,502,3638,64,2676,4627,277,20766,27102,589,207,1164,497,1411,1667,897,0
179,09/09/2020 10:00:00 AM,408,8892,16382,15037,838,572,1807,862,2503,502,3642,65,2686,4652,277,20838,27163,591,209,1164,497,1416,1673,899,0
180,09/10/2020 10:00:00 AM,409,8945,16441,15092,843,582,1815,878,2517,505,3664,65,2725,4683,277,20893,27245,595,210,1165,500,1440,1683,906,0
181,09/11/2020 10:00:00 AM,411,8986,16520,15162,847,584,1820,886,2536,509,3684,66,2750,4704,279,20993,27439,599,211,1170,501,1453,1697,917,0
